material,harga,tingkat_kekritisan,rutin_nonrutin,2019,ROQ
UNIV ACC;BAN MOBIL DALAM 700X16,200000,C,NON RUTIN,10,2.8333333333333335
UNIV ACC;BAN MOBIL DALAM 650X10,168000,C,NON RUTIN,2,0.5666666666666667
UNIV ACC;BAN MOBIL LUAR 250X15,1440000,C,NON RUTIN,0,0
UNIV ACC;BAN LUAR 16.9-28R,12500000,C,NON RUTIN,4,1.1333333333333333
UNIV ACC;BAN MOBIL DALAM 825X15,242000,C,NON RUTIN,4,1.1333333333333333
UNIV ACC;BAN MOBIL DALAM 250X15,681000,C,NON RUTIN,0,0
UNIV ACC;MARSET 1000,460000,C,NON RUTIN,0,0
UNIV ACC;MARSET 1100,455000,C,NON RUTIN,0,0
UNIV ACC;MARSET 1200,300000,C,NON RUTIN,12,3.4
UNIV ACC;MARSET 900,227000,C,NON RUTIN,0,0
UNIV ACC;MARSET 650,110000,C,NON RUTIN,2,0.4722222222222222
UNIV ACC;MARSET 700,67000,C,NON RUTIN,10,2.8333333333333335
UNIV ACC;MARSET 825,67000,C,NON RUTIN,0,0
CLUTCH;FMC;TA700;1102263,59000000,B,NON RUTIN,0,0
SOLENOID;MAC;1361G681D15;FE139,65000000,B,NON RUTIN,1,1.525
LENS;NSN;CGB;26090Z9707,979000.0000000001,C,NON RUTIN,0,0
LENS;NSN;CGB;26090Z9112,88000,C,NON RUTIN,0,0
LENS;NSN;CGB;26090Z9113,138050,C,NON RUTIN,0,0
DFTR;DMW;10VPFCM;B881,1808000,C,NON RUTIN,0,0
BEAR;ARP;GSG75;C21406122SK,1150000,C,NON RUTIN,0,0
BEAR;ARP;GSG75;C21471156SK,1300000,C,NON RUTIN,0,0
BEAR;ARP;GSG75;C21471160SK,2050000,C,NON RUTIN,0,0
BEAR;ARP;GSG75;C501501952,2050000,C,NON RUTIN,0,0
BEAR;ARP;GSG75;C50150951,1500000,C,NON RUTIN,0,0
BEAR;ARP;GSG75;C50150956,4475000,C,NON RUTIN,0,0
BEAR;ARP;GSG75;H3441006314SK,1700000,C,NON RUTIN,0,0
SPEED CONTROL;ARP;GSG75;CVALE0002D,1875000,C,NON RUTIN,0,0
PUMP;MFI;2K4X3;10HNC,147915000,C,NON RUTIN,0,0
UNIV ACC;KARET RUBBER COUPLING,2300000,C,NON RUTIN,0,0
"UNIV ACC;WATER DRAIN 24V 50/60HZ 1/4""NPT",21125000,C,NON RUTIN,0,0
PUMP ACC;AIR BLOWER SR017,83400000,C,NON RUTIN,1,0.6472222222222221
UNIV ACC;TIME SWITCH EH011,1157000,C,NON RUTIN,0,0
UNIV ACC;TIME SWITCH EH111,918000,C,NON RUTIN,0,0
GAS;HELIUM HP,6600000,C,NON RUTIN,6,3.533333333333333
GLAND;CCI;TBPVALVE;29250920POS3,25172400.000000004,C,NON RUTIN,0,0
STEM PACK;CCI;TBPVALVE;29250920POS4,1410750,C,NON RUTIN,0,0
GD VLV STEM;CCI;TBPVALVE;29250920POS5,15094200.000000002,C,NON RUTIN,0,0
PRESS SEAL;CCI;TBPVALVE;29250920POS11,5641900,C,NON RUTIN,0,0
PLUG;CCI;TBPVALVE;29250920POS13,286551383.8,C,NON RUTIN,0,0
SEAT;CCI;TBPVALVE;29250920POS15,264220000.00000003,C,NON RUTIN,0,0
SCREW&NUT;CCI;TBPVALVE;29250920POS2223,1007600.0000000001,C,NON RUTIN,0,0
LCK WASH;CCI;TBPVALVE;29250920POS24,402600.00000000006,C,NON RUTIN,0,0
STEM;CCI;TBPVALVE;29250920POS26,806025.0000000001,C,NON RUTIN,0,0
NZL HOLD;CCI;TBPVALVE;29250920POS27,24263800.000000004,C,NON RUTIN,0,0
GASKET;CCI;TBPVALVE;29250920POS28,806025.0000000001,C,NON RUTIN,0,0
LCK WASH;CCI;TBPVALVE;29250920POS29,1008700.0000000001,C,NON RUTIN,0,0
NZL;CCI;TBPVALVE;29250920POS30,46431000.00000001,C,NON RUTIN,0,0
GLAND;CCI;TBPVALVE;29250910POS3,25150400.000000004,C,NON RUTIN,0,0
STEM;CCI;TBPVALVE;29250910POS4,1410750,C,NON RUTIN,0,0
STEM;CCI;TBPVALVE;29250910POS5,15094200.000000002,C,NON RUTIN,0,0
PRESS SEAL;CCI;TBPVALVE;29250910POS11,5641900,C,NON RUTIN,0,0
MODULE;MOO;R16KO1D0VSM2;D633460B,55764550,C,NON RUTIN,0,0
VALVE KIT;CCI;TBPVALE;TBA,16363636.36,C,NON RUTIN,0,0
SEAT RING;CCI;TBPVALE;20304004AT,29903636.36,C,NON RUTIN,0,0
GD BUSH;CCI;TBPVALE;120701043AT,25454545.45,C,NON RUTIN,0,0
SPINDLE;CCI;TBPVALE;327204028AT,172304545.45,C,NON RUTIN,0,0
VLV CAGE;CCI;TBPVALE;528701004,377472727.27,C,NON RUTIN,0,0
ACTUATOR;CCI;TBPVALE;500RMSOFT,10909090.91,C,NON RUTIN,0,0
VLV;CCI;MFWCV;597301SOFT,18181818.18,C,NON RUTIN,0,0
SEAT RING;CCI;MFWCV;431B0404AAR,72727272.73,C,NON RUTIN,0,0
PLUG;CCI;MFWCV;2A000000413,169657272.74,C,NON RUTIN,0,0
CYL;CCI;MFWCV;442B0208AAR,96678181.82,C,NON RUTIN,0,0
CAGE;CCI;MFWCV;2E000000238,330582727.27,C,NON RUTIN,0,0
ACTUATOR;CCI;MFWCV;30202002SOFT,10909090.91,C,NON RUTIN,0,0
VLV;CCI;FFWCV;29250905SOFT,16882727.27,C,NON RUTIN,0,0
SEAL;CCI;FFWCV;21302001AT,35454545.45,C,NON RUTIN,0,0
SEAT RING;CCI;FFWCV;20305001AT,62727272.73,C,NON RUTIN,0,0
GD BUSH;CCI;FFWCV;20705001AT,34140000,C,NON RUTIN,0,0
PLUG;CCI;FFWCV;524107001,166382727.27,C,NON RUTIN,0,0
VLV CAGE;CCI;FFWCV;528701005,288553636.63,C,NON RUTIN,0,0
ACTUATOR;CCI;FFWCV;85104503,63363636.36,C,NON RUTIN,0,0
SOLENOID;HOL;SERVO;FM146A,60326984,C,NON RUTIN,0,0
SLEEVE;FUJ;SCC100MW;TR1CST318017C1P45,110000000,A,NON RUTIN,4,6.777777777777777
HEATER;FUJ;SCC100MW;ST318017C1,507000000,A,NON RUTIN,2,3.3888888888888884
HYD ACT;FUJ;SCC100MW;TR7CST455742,5800000000,A,NON RUTIN,1,1.6944444444444442
HYD ACT;FUJ;SCC100MW;TR15CST460786,7450000000,A,NON RUTIN,1,1.6944444444444442
BOLT;FUJ;SCC100MW;CST112205P21,28500000,A,NON RUTIN,16,27.111111111111107
STUD;FUJ;SCC100MW;CST112205P27,40500000,A,NON RUTIN,12,20.333333333333332
NUT;FUJ;SCC100MW;CST112205P28,20000000,A,NON RUTIN,0,0
RING;FUJ;SCC100MW;CST112205P96,97000000,A,NON RUTIN,4,6.777777777777777
LINER;FUJ;SCC100MW;CST114251P1,15000000,A,NON RUTIN,0,0
BOLT;FUJ;SCC100MW;CST1144251,32000000,A,NON RUTIN,0,0
THRUST PAD;FUJ;ST202611C;ST251,NA,NA,NON RUTIN,0,NA
THRUST PAD;FUJ;ST202611C;ST251,NA,NA,NON RUTIN,0,NA
BOLT&NUT;FUJ;M64X;ST114051AP2P,NA,NA,NON RUTIN,0,NA
STRAINER;FUJ;MSV;ST4580701,NA,NA,NON RUTIN,0,NA
TURBIN ACC;RING JOINT GASKET R60 F5,14100000,C,NON RUTIN,0,0
TURBIN ACC;LEAD PLATE 1.2X1000X1000,14530000,A,NON RUTIN,0,0
TURBIN ACC;CAULKING WIRE 1.6MM,301000,B,NON RUTIN,0,0
TURBIN ACC;CAULKING WIRE 1.7X1,289000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1015X1600X,5265000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1015X1600X,5671000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1037X3400X,5379000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1037X3400X,5786000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1048X1700X,5435000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1048X1700X,5854000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1065X3375X,6003000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1087X1718X,6129000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1095X1900X,5678000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1095X1900X,6117000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1103X3500X,5722000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1103X3500X,6165000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1144X3700X,5934000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1144X3700X,6385000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1209X2000X,6273000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1209X2000X,6752000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1305X2200X,6768000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1305X2200X,7291000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1446X2500X,8077000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1446X2500X,7503000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1447X4576X,8158000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1469X2318X,8280000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1615X2600X,9019000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1615X2600X,8376000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1723X2800X,9625000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 1723X2800X,8939000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 2135X3364X,12037000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 574X1900X5,2977000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 574X1900X8,3207000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 575X1900X5,2983000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 575X1900X8,3213000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 575X2000X5,2983000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 575X2000X8,3213000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 626X2200X5,3252000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 626X2200X8,3496000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 690X1100X5,3580000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 690X1100X8,3870000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 696X1100X5,3631000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 696X1100X8,3911000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 700X1300X5,3631000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 700X1300X8,3911000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 717X2500X4,3720000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 717X2500X7,4007000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 786X1400X5,4077000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 786X1400X8,4389000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 808X2800X4,4190000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 808X2800X8,4517000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 900X3200X4,4669000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 900X3200X8,5028000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 913X1600X4,4732000,B,NON RUTIN,0,0
TURBIN ACC;SEAL FIN 913X1600X7,5100000,B,NON RUTIN,0,0
SHFT SLEEVE;KIR;KPDS3216;310,4379815,C,NON RUTIN,0,0
SHFT SLEEVE;KIR;KPDS3216;311,4379815,C,NON RUTIN,0,0
LCK PLATE;DMW;VPFCM;R183,2189000,B,NON RUTIN,0,0
PRESS TRANS;FUJ;FKGT03V5PACBY;LAA10CP001,27000000,A,NON RUTIN,0,0
PRESS TRANS;FUJ;FKGT03V5PACBY;LCA20CP001,27000000,A,NON RUTIN,0,0
PRESS TRANS;FUJ;FKGT03V5PACBY;PGB30CP001,27000000,C,NON RUTIN,0,0
LVL TRANS;FUJ;FKCT33V5PACBY;LAA10CL001,27200000,A,NON RUTIN,0,0
LVL TRANS;FUJ;FKCT33V5PACBY;LAD40CL001,30500000,C,NON RUTIN,4,1.4666666666666668
FLOW TRAN;FUJ;FKCT36V5PACBY;LCP62CF001,28000000,A,NON RUTIN,0,0
FLOW TRAN;FUJ;FKCT46V5PACBY;LC,37500000,B,NON RUTIN,4,1.9555555555555553
END DISC;WIL;GAMILL300;181JB612,75000000,C,NON RUTIN,0,0
HAMMER BOLT;WIL;GAMILL300;181JB616,50000,B,NON RUTIN,0,0
SHAFT;WIL;GAMILL300;181JB609,416200000,C,NON RUTIN,0,0
SHFT CTR KEY;WIL;GAMILL300;181JB610,15000000,C,NON RUTIN,0,0
SHFT LCK NUT;WIL;GAMILL300;181JB611,20000000,C,NON RUTIN,0,0
ELM KIT;NSN;CGB;16444Z9027D,60000,C,NON RUTIN,0,0
UNIV ACC;NEPEL CU 6MM,55000,C,NON RUTIN,0,0
UNIV ACC;T CONNECTION CU 6MM,72500,C,NON RUTIN,0,0
UNIV ACC;V CONNECTION CU 6MM,72500,C,NON RUTIN,0,0
UNIV ACC;CENTER HAMMER BC-462,5346000,B,NON RUTIN,26,44.199999999999996
UNIV ACC;END HAMMER BC-465,3025000.0000000005,B,NON RUTIN,4,6.8
UNIV ACC;CAGE BAR CRUSHER 155X,11497750,B,NON RUTIN,28,14.733333333333333
FLAME DETECT;CON;63000604D3;26,166500000,C,NON RUTIN,2,2.1333333333333333
SPARK PLG;CON;63000604D3;90586652B150150,31000000,C,NON RUTIN,2,1.1333333333333333
DSPLY MDL;CON;63000604D3;INS631711,38115000,B,NON RUTIN,0,0
SPEED SEN;CON;63000604D3;92401061011,54000000,C,NON RUTIN,0,0
DSPLY;RMN;6888;6888XI30XY0116020202,229300000,C,NON RUTIN,0,0
TESTER;RMN;OTGK;6296A27G01,76711000,C,NON RUTIN,0,0
SENSOR;MER;185112;FE13080,51000000,B,NON RUTIN,1,1.65
ACTUATOR;AUM;SA075AM011;GS1003,180000000,B,NON RUTIN,0,0
ELM;NSN;CGB;4742099000,1309770,C,NON RUTIN,0,0
ACTUATOR;CDC;63000604D3;PSLG15,NA,NA,NON RUTIN,0,NA
KIT ACT;CDC;63000604D3;PSLG15NC18,2230000,C,NON RUTIN,0,0
FTR;PAL;A10V028DR31R;HC9021FDT4H,3965000,A,RUTIN,2,0.5666666666666667
KIT ACT;CDC;63000604D3;PSNG15NC18,2600000,C,NON RUTIN,0,0
AIR FTR;DYN;BHP300;DS10202,7120000,B,NON RUTIN,1,0.85
AIR FTR;DYN;BHP300;DS10203,7120000,B,NON RUTIN,1,0.85
AIR FTR;DYN;BHP300;DS81161,1500000,C,NON RUTIN,0,0
AIR FTR;DYN;BHP300;DS8116ST,2651000,C,NON RUTIN,0,0
OIL FTR;DYN;BHP300;DS7703,4125000,C,RUTIN,1,0.5666666666666667
SEPARATOR;DYN;BHP300;DS10517,24350000,C,RUTIN,0,0
ACTUATOR;AUM;SA075AM011GF1003;,NA,NA,NON RUTIN,0,NA
KIT ACT;CDC;63000604D3;95PLG5N,NA,NA,NON RUTIN,0,NA
KIT ACT;CDC;63000604D3;95PNG5N,NA,NA,NON RUTIN,0,NA
HYD OIL FTR;KOM;D155A;0706301100,2080000,C,NON RUTIN,0,0
OIL FTR;KOM;D155A;6002111231,570000,C,NON RUTIN,0,0
PWR TRN FTR;KOM;D155A;1754911580,390000,C,NON RUTIN,0,0
SHOE ASSY;NSN;CGB;NBKLN5036F,814000.0000000001,C,NON RUTIN,0,0
FILTER;AIR;1613740700,513700.00000000006,C,NON RUTIN,0,0
FILTER;AIR;1654699129A,4650000,C,RUTIN,0,0
FILTER;AIR;1654Z9025D,1050000,C,NON RUTIN,0,0
FILTER;AIR;17801OW030,130000,C,NON RUTIN,0,0
FILTER;AIR;641630,1100000,C,NON RUTIN,0,0
FILTER;AIR;91861-01600,627440,C,NON RUTIN,0,0
"FILTER;AIR;CCF6""",1100000,C,RUTIN,0,0
FILTER;AIR;FK25319B274625-154X14cm,313000,C,NON RUTIN,0,0
FILTER;AIR;FK25319B274625-175X14cm,335000,C,NON RUTIN,0,0
FILTER;AIR;FK25319B274625-247X14cm,366000,C,NON RUTIN,0,0
FILTER;AIR;N1654696064,1370000,C,NON RUTIN,0,0
FILTER;AIR;P781039,1100000,C,NON RUTIN,0,0
FILTER;FUEL;3446200300,380000,C,NON RUTIN,0,0
FILTER;FUEL;6003117111A,154419.1,C,NON RUTIN,0,0
FILTER;FUEL;N1644497001D,80000,C,NON RUTIN,0,0
FILTER;FUEL;P553004,150000,C,NON RUTIN,0,0
FILTER;OIL;1266286,150000,C,NON RUTIN,0,0
FILTER;OIL;1508Z9007D,160000,C,NON RUTIN,0,0
FILTER;OIL;1527499289A,540000,C,RUTIN,0,0
FILTER;OIL;1527499386A,260000,C,NON RUTIN,0,0
FILTER;OIL;164039911,167090,C,NON RUTIN,0,0
FILTER;OIL;16403Z9000D,140000,C,NON RUTIN,0,0
FILTER;OIL;1937503800,120000,C,NON RUTIN,0,0
FILTER;OIL;1R1739,280000,C,NON RUTIN,0,0
FILTER;OIL;23304-78110,90000,C,NON RUTIN,0,0
FILTER;OIL;31B4020100,605770,C,NON RUTIN,0,0
FILTER;OIL;32A4000100,209000.00000000003,C,NON RUTIN,0,0
FILTER;OIL;493055211,1182500,C,RUTIN,0,0
FILTER;OIL;5156072320,860000,C,NON RUTIN,0,0
FILTER;OIL;6001856100A,6600000.000000001,C,NON RUTIN,0,0
FILTER;OIL;60021101231,240460.00000000003,C,NON RUTIN,0,0
FILTER;OIL;6004111151A,820000,C,NON RUTIN,0,0
FILTER;OIL;634630A1,950000,C,NON RUTIN,0,0
FILTER;OIL;637890,1050000,C,NON RUTIN,0,0
FILTER;OIL;710X150mm,6465000,B,NON RUTIN,0,0
FILTER;OIL;740580204,100000,C,NON RUTIN,0,0
FILTER;OIL;C307021357,420000,C,NON RUTIN,0,0
FILTER;OIL;C318032527,1386000,C,NON RUTIN,0,0
FILTER;OIL;CF25710,1496000.0000000002,C,NON RUTIN,0,0
FILTER;OIL;HC7500,5780000,A,RUTIN,1,0.5666666666666667
FILTER;OIL;MX1591410,160000,C,NON RUTIN,0,0
FILTER;OIL;N1527499289D,550000,C,NON RUTIN,0,0
FILTER;OIL;N1527499386D,1250000,C,NON RUTIN,0,0
FILTER;OIL;WD13145,1096700,C,NON RUTIN,0,0
FILTER;WATER;68X28X76mm-3MICRON,1910000,C,RUTIN,0,0
FILTER;AIR;PPS-8065X129mm,1244000,C,RUTIN,0,0
UNIV ACC;SILINCER 318X150X1200MM,90200000,C,NON RUTIN,0,0
FILTER;AIR;61856100A,9000000,C,NON RUTIN,0,0
FILTER;AIR;91E61-00112,150000,C,RUTIN,0,0
FILTER;AIR;FAR44 610X610X50MM,9230000,C,NON RUTIN,14,10.766666666666666
FILTER;FUEL;1640399011A,540000,C,NON RUTIN,0,0
FILTER;FUEL;3446221040,100000,C,NON RUTIN,0,0
FILTER;FUEL;FS1006,600000,C,NON RUTIN,0,0
FILTER;OIL;VN-08A-150W-1,1770000,A,NON RUTIN,0,0
FILTER;AIR;32925682,1880000,C,NON RUTIN,0,0
FILTER;AIR;32925683,1200000,C,NON RUTIN,0,0
FILTER;FUEL;32925694,600000,C,NON RUTIN,0,0
FILTER;OIL;58118076A,540000,C,NON RUTIN,0,0
FILTER;AIR;CF710,1384900,C,NON RUTIN,0,0
FILTER;FUEL;32007155,600000,C,NON RUTIN,0,0
FILTER;FUEL;6003117132A,170500,C,NON RUTIN,0,0
FILTER;FUEL;FS19624,600000,C,NON RUTIN,0,0
FILTER;OIL;32004133A,300000,C,NON RUTIN,0,0
FILTER;OIL;3264290002A,60000,C,NON RUTIN,0,0
FILTER;OIL;937503800,122100.00000000001,C,NON RUTIN,0,0
FILTER;AIR;1384575,4200000,C,NON RUTIN,0,0
FILTER;AIR;174Z116691,3750000,C,NON RUTIN,0,0
FILTER;AIR;654696054,1402500,C,NON RUTIN,0,0
FILTER;AIR;ELEMENT 4871799009A,430000,C,NON RUTIN,0,0
FILTER;FUEL;16403NY000A,3750000,C,NON RUTIN,0,0
FILTER;FUEL;233011510,60000,C,NON RUTIN,0,0
FILTER;FUEL;6003117132,730000,C,NON RUTIN,0,0
FILTER;FUEL;AF4895,380000,C,NON RUTIN,0,0
FILTER;FUEL;ELEMENT 4742999000,400000,C,NON RUTIN,0,0
FILTER;FUEL;ELEMENT H60/47632141102,270000,C,NON RUTIN,0,0
FILTER;FUEL;ELEMENT N16444Z9128D,541200,C,NON RUTIN,0,0
FILTER;FUEL;ELEMENT N16444Z9207,62700.00000000001,C,NON RUTIN,0,0
FILTER;FUEL;PC2017P553004,154000,C,NON RUTIN,0,0
FILTER;OIL;14896991A,1750000,C,NON RUTIN,0,0
FILTER;OIL;1527499286A,132000,C,NON RUTIN,0,0
